EXT ; OPC ; ASM             ; MEGA65 ; XEMU ; COMPARISON
 -  ;  -  ; calibration     ;  22 ;  16 ; MISMATCH
$00 ; $00 ; BRK             ;   9 ;   7 ; MISMATCH
$00 ; $01 ; ORA  ($nn,X)    ;   7 ;   5 ; MISMATCH
$00 ; $02 ; CLE             ;   3 ;   2 ; MISMATCH
$00 ; $03 ; SEE             ;   1 ;   2 ; MISMATCH
$00 ; $04 ; TSB  $nn        ;   6 ;   4 ; MISMATCH
$00 ; $05 ; ORA  $nn        ;   4 ;   3 ; MISMATCH
$03 ; $05 ; ORQ  $nn        ;  11 ;  11 ; OK
$00 ; $06 ; ASL  $nn        ;   6 ;   4 ; MISMATCH
$03 ; $06 ; ASLQ $nn        ;  17 ;   8 ; MISMATCH
$00 ; $07 ; RMB0 $nn        ;   6 ;   4 ; MISMATCH
$00 ; $08 ; PHP             ;   3 ;   3 ; OK
$00 ; $09 ; ORA  #$nn       ;   2 ;   2 ; OK
$00 ; $0A ; ASL  A          ;   1 ;   1 ; OK
$03 ; $0A ; ASLQ Q          ;   4 ;   5 ; MISMATCH
$00 ; $0B ; TSY             ;   1 ;   1 ; OK
$00 ; $0C ; TSB  $nnnn      ;   7 ;   5 ; MISMATCH
$00 ; $0D ; ORA  $nnnn      ;   5 ;   4 ; MISMATCH
$03 ; $0D ; ORQ  $nnnn      ;  12 ;  12 ; OK
$00 ; $0E ; ASL  $nnnn      ;   7 ;   5 ; MISMATCH
$03 ; $0E ; ASLQ $nnnn      ;  18 ;   9 ; MISMATCH
$00 ; $0F ; BBR0 $nn,$rr    ;   5 ;   4 ; MISMATCH
$01 ; $0F ; BBR0 $nn,$rr    ;   6 ;   5 ; MISMATCH
$00 ; $10 ; BPL  $rr        ;   2 ;   2 ; OK
$01 ; $10 ; BPL  $rr        ;   4 ;   3 ; MISMATCH
$00 ; $11 ; ORA  ($nn),Y    ;   7 ;   5 ; MISMATCH
$00 ; $12 ; ORA  ($nn),Z    ;   7 ;   5 ; MISMATCH
$02 ; $12 ; ORA  [$nn],Z    ;  10 ;   9 ; MISMATCH
$03 ; $12 ; ORQ  ($nn)      ;  14 ;  13 ; MISMATCH
$04 ; $12 ; ORQ  [$nn]      ;  17 ;  16 ; MISMATCH
$00 ; $13 ; LBPL $rr        ;   4 ;   3 ; MISMATCH
$01 ; $13 ; LBPL $rr        ;   5 ;   4 ; MISMATCH
$00 ; $14 ; TRB  $nn        ;   6 ;   4 ; MISMATCH
$00 ; $15 ; ORA  $nn,X      ;   4 ;   3 ; MISMATCH
$00 ; $16 ; ASL  $nn,X      ;   6 ;   4 ; MISMATCH
$03 ; $16 ; ASLQ $nn,X      ;  17 ;   8 ; MISMATCH
$00 ; $17 ; RMB1 $nn        ;   6 ;   4 ; MISMATCH
$00 ; $18 ; CLC             ;   1 ;   1 ; OK
$00 ; $19 ; ORA  $nnnn,Y    ;   5 ;   4 ; MISMATCH
$00 ; $1A ; INA             ;   1 ;   1 ; OK
$03 ; $1A ; INQ             ;   4 ;   5 ; MISMATCH
$00 ; $1B ; INZ             ;   1 ;   1 ; OK
$00 ; $1C ; TRB  $nnnn      ;   7 ;   5 ; MISMATCH
$00 ; $1D ; ORA  $nnnn,X    ;   5 ;   4 ; MISMATCH
$00 ; $1E ; ASL  $nnnn,X    ;   7 ;   5 ; MISMATCH
$03 ; $1E ; ASLQ $nnnn,X    ;  18 ;   9 ; MISMATCH
$00 ; $1F ; BBR1 $nn,$rr    ;   5 ;   4 ; MISMATCH
$01 ; $1F ; BBR1 $nn,$rr    ;   6 ;   5 ; MISMATCH
$00 ; $20 ; JSR  $nnnn      ;   5 ;   2 ; MISMATCH
$00 ; $21 ; AND  ($nn,X)    ;   7 ;   5 ; MISMATCH
$00 ; $22 ; JSR  ($nnnn)    ;   8 ;   7 ; MISMATCH
$00 ; $23 ; JSR  ($nnnn,X)  ;   8 ;   7 ; MISMATCH
$00 ; $24 ; BIT  $nn        ;   4 ;   4 ; OK
$03 ; $24 ; BITQ $nn        ;  11 ;  11 ; OK
$00 ; $25 ; AND  $nn        ;   4 ;   3 ; MISMATCH
$03 ; $25 ; ANDQ $nn        ;  11 ;  11 ; OK
$00 ; $26 ; ROL  $nn        ;   6 ;   4 ; MISMATCH
$03 ; $26 ; ROLQ $nn        ;  17 ;   8 ; MISMATCH
$00 ; $27 ; RMB2 $nn        ;   6 ;   4 ; MISMATCH
$00 ; $28 ; PLP             ;   4 ;   3 ; MISMATCH
$00 ; $29 ; AND  #$nn       ;   2 ;   2 ; OK
$00 ; $2A ; ROL  A          ;   1 ;   1 ; OK
$03 ; $2A ; ROLQ Q          ;   4 ;   5 ; MISMATCH
$00 ; $2B ; TYS             ;   1 ;   1 ; OK
$00 ; $2C ; BIT  $nnnn      ;   5 ;   5 ; OK
$03 ; $2C ; BITQ $nnnn      ;  12 ;  12 ; OK
$00 ; $2D ; AND  $nnnn      ;   5 ;   4 ; MISMATCH
$03 ; $2D ; ANDQ $nnnn      ;  12 ;  12 ; OK
$00 ; $2E ; ROL  $nnnn      ;   7 ;   4 ; MISMATCH
$03 ; $2E ; ROLQ $nnnn      ;  18 ;   8 ; MISMATCH
$00 ; $2F ; BBR2 $nn,$rr    ;   5 ;   4 ; MISMATCH
