EXT ; OPC ; ASM            ; XEMU
 -  ;  -  ; calibration    ;  16
$00 ; $00 ; BRK            ;   7
$00 ; $01 ; ORA  ($nn,X)   ;   5
$00 ; $02 ; CLE            ;   2
$00 ; $03 ; SEE            ;   2
$00 ; $04 ; TSB  $nn       ;   4
$00 ; $05 ; ORA  $nn       ;   3
$03 ; $05 ; ORQ  $nn       ;  11
$00 ; $06 ; ASL  $nn       ;   4
$03 ; $06 ; ASLQ $nn       ;   8
$00 ; $07 ; RMB0 $nn       ;   4
$00 ; $08 ; PHP            ;   3
$00 ; $09 ; ORA  #$nn      ;   2
$00 ; $0A ; ASL  A         ;   1
$03 ; $0A ; ASLQ Q         ;   5
$00 ; $0B ; TSY            ;   1
$00 ; $0C ; TSB  $nnnn     ;   5
$00 ; $0D ; ORA  $nnnn     ;   4
$03 ; $0D ; ORQ  $nnnn     ;  12
$00 ; $0E ; ASL  $nnnn     ;   5
$03 ; $0E ; ASLQ $nnnn     ;   9
$00 ; $0F ; BBR0 $nn,$rr   ;   4
$01 ; $0F ; BBR0 $nn,$rr   ;   5
$00 ; $10 ; BPL  $rr       ;   2
$01 ; $10 ; BPL  $rr       ;   3
$00 ; $14 ; TRB  $nn       ;   4
$00 ; $15 ; ORA  $nn,X     ;   3
$00 ; $16 ; ASL  $nn,X     ;   4
$03 ; $16 ; ASLQ $nn,X     ;   8
$00 ; $17 ; RMB1 $nn       ;   4
$00 ; $18 ; CLC            ;   1
$00 ; $19 ; ORA  $nnnn,Y   ;   4
$00 ; $1A ; INA            ;   1
$03 ; $1A ; INQ            ;   5
$00 ; $1B ; INZ            ;   1
$00 ; $1C ; TRB  $nnnn     ;   5
$00 ; $1D ; ORA  $nnnn,X   ;   4
$00 ; $1E ; ASL  $nnnn,X   ;   5
$03 ; $1E ; ASLQ $nnnn,X   ;   9
$00 ; $1F ; BBR1 $nn,$rr   ;   4
$01 ; $1F ; BBR1 $nn,$rr   ;   5
$00 ; $20 ; JSR  $nnnn     ;   2
$00 ; $21 ; AND  ($nn,X)   ;   5
$00 ; $22 ; JSR  ($nnnn)   ;   7
$00 ; $23 ; JSR  ($nnnn,X) ;   7
$00 ; $24 ; BIT  $nn       ;   4
$00 ; $25 ; AND  $nn       ;   3
$03 ; $25 ; ANDQ $nn       ;  11
$00 ; $26 ; ROL  $nn       ;   4
$03 ; $26 ; ROLQ $nn       ;   8
$00 ; $27 ; RMB2 $nn       ;   4
$00 ; $28 ; PLP            ;   3
$00 ; $29 ; AND  #$nn      ;   2
$00 ; $2A ; ROL  A         ;   1
$03 ; $2A ; ROLQ Q         ;   5
$00 ; $2B ; TYS            ;   1
$00 ; $2C ; BIT  $nnnn     ;   5
$03 ; $2C ; BITQ $nnnn     ;  12
$00 ; $2D ; AND  $nnnn     ;   4
$03 ; $2D ; ANDQ $nnnn     ;  12
$00 ; $2E ; ROL  $nnnn     ;   4
$03 ; $2E ; ROLQ $nnnn     ;   8
$00 ; $2F ; BBR2 $nn,$rr   ;   4
$01 ; $2F ; BBR2 $nn,$rr   ;   5
$00 ; $31 ; AND  ($nn),Y   ;   5
$00 ; $32 ; AND  ($nn),Z   ;   5
$02 ; $32 ; AND  [$nn],Z   ;   9
$00 ; $34 ; BIT  $nn,X     ;   4
$00 ; $35 ; AND  $nn,X     ;   3
$00 ; $36 ; ROL  $nn,X     ;   4
$03 ; $36 ; ROLQ $nn,X     ;   8
$00 ; $37 ; RMB3 $nn       ;   4
$00 ; $38 ; SEC            ;   1
