EXT ; OPC ; ASM             ; MEGA65 ; REF ; COMPARISON
$00 ; $02 ; CLE             ;   3 ;   3 ; OK
$00 ; $03 ; SEE             ;   1 ;   1 ; OK
$00 ; $06 ; ASL  $nn        ;   6 ;   6 ; OK
$00 ; $07 ; RMB0 $nn        ;   6 ;   6 ; OK
$00 ; $08 ; PHP             ;   3 ;   3 ; OK
$00 ; $0A ; ASL  A          ;   1 ;   1 ; OK
$03 ; $0A ; ASLQ Q          ;   4 ;   4 ; OK
$00 ; $0B ; TSY             ;   1 ;   1 ; OK
$00 ; $0E ; ASL  $nnnn      ;   7 ;   7 ; OK
$00 ; $0F ; BBR0 $nn,$rr    ;   5 ;   5 ; OK
$01 ; $0F ; BBR0 $nn,$rr    ;   6 ;   6 ; OK
$00 ; $10 ; BPL  $rr        ;   2 ;   2 ; OK
$01 ; $10 ; BPL  $rr        ;   4 ;   4 ; OK
$00 ; $18 ; CLC             ;   1 ;   1 ; OK
$03 ; $1A ; INQ             ;   4 ;   4 ; OK
$00 ; $21 ; AND  ($nn,X)    ;   7 ;   8 ; MISMATCH
$00 ; $24 ; BIT  $nn        ;   4 ;   4 ; OK
$00 ; $25 ; AND  $nn        ;   4 ;   4 ; OK
$00 ; $26 ; ROL  $nn        ;   6 ;   6 ; OK
$00 ; $28 ; PLP             ;   4 ;   4 ; OK
$00 ; $29 ; AND  #$nn       ;   2 ;   2 ; OK
$00 ; $2A ; ROL  A          ;   1 ;   1 ; OK
$00 ; $2B ; TYS             ;   1 ;   1 ; OK
$00 ; $2C ; BIT  $nnnn      ;   5 ;   5 ; OK
$00 ; $2D ; AND  $nnnn      ;   5 ;   5 ; OK
$00 ; $2E ; ROL  $nnnn      ;   7 ;   7 ; OK
$00 ; $30 ; BMI  $rr        ;   2 ;   2 ; OK
$01 ; $30 ; BMI  $rr        ;   4 ;   4 ; OK
$00 ; $31 ; AND  ($nn),Y    ;   7 ;   8 ; MISMATCH
$00 ; $32 ; AND  ($nn),Z    ;   7 ;   8 ; MISMATCH
$00 ; $34 ; BIT  $nn,X      ;   4 ;   4 ; OK
$00 ; $35 ; AND  $nn,X      ;   4 ;   4 ; OK
